Period_Beginning,ReqNSR
1/1/2020 0:00,1355.057428
1/1/2020 1:00,1355.302443
1/1/2020 2:00,1355.118682
1/1/2020 3:00,1357.262566
1/1/2020 4:00,1359.835227
1/1/2020 5:00,1395.852485
1/1/2020 6:00,1425.560596
1/1/2020 7:00,1411.472214
1/1/2020 8:00,1402.345391
1/1/2020 9:00,1445.100571
1/1/2020 10:00,1446.325648
1/1/2020 11:00,1383.724224
1/1/2020 12:00,1355.179936
1/1/2020 13:00,1355.486205
1/1/2020 14:00,1357.752597
1/1/2020 15:00,1390.768416
1/1/2020 16:00,1448.775802
1/1/2020 17:00,1450.18464
1/1/2020 18:00,1465.98813
1/1/2020 19:00,1558.910204
1/1/2020 20:00,1636.090041
1/1/2020 21:00,1646.564448
1/1/2020 22:00,1646.809463
1/1/2020 23:00,1646.870717
1/2/2020 0:00,1645.890656
1/2/2020 1:00,1647.054479
1/2/2020 2:00,1645.890656
1/2/2020 3:00,1644.726833
1/2/2020 4:00,1645.890656
1/2/2020 5:00,1645.216863
1/2/2020 6:00,1645.829402
1/2/2020 7:00,1645.584386
1/2/2020 8:00,1646.258179
1/2/2020 9:00,1624.084289
1/2/2020 10:00,1599.398992
1/2/2020 11:00,1581.02284
1/2/2020 12:00,1574.897456
1/2/2020 13:00,1569.017088
1/2/2020 14:00,1572.447303
1/2/2020 15:00,1582.186663
1/2/2020 16:00,1592.783577
1/2/2020 17:00,1599.705261
1/2/2020 18:00,1612.262298
1/2/2020 19:00,1617.958905
1/2/2020 20:00,1620.654074
1/2/2020 21:00,1623.226735
1/2/2020 22:00,1621.450374
1/2/2020 23:00,1628.188296
1/3/2020 0:00,1636.151295
1/3/2020 1:00,1638.846464
1/3/2020 2:00,1635.538757
1/3/2020 3:00,1630.944719
1/3/2020 4:00,1633.51738
1/3/2020 5:00,1635.661265
1/3/2020 6:00,1630.883465
1/3/2020 7:00,1629.535881
1/3/2020 8:00,1626.044412
1/3/2020 9:00,1623.77802
1/3/2020 10:00,1618.081413
1/3/2020 11:00,1613.487375
1/3/2020 12:00,1608.525814
1/3/2020 13:00,1606.320675
1/3/2020 14:00,1603.319237
1/3/2020 15:00,1599.827768
1/3/2020 16:00,1594.437431
1/3/2020 17:00,1593.702385
1/3/2020 18:00,1588.005778
1/3/2020 19:00,1583.963024
1/3/2020 20:00,1581.267855
1/3/2020 21:00,1580.042779
1/3/2020 22:00,1576.245041
1/3/2020 23:00,1573.549872
1/4/2020 0:00,1577.83764
1/4/2020 1:00,1512.724809
1/4/2020 2:00,1447.489471
1/4/2020 3:00,1530.733438
1/4/2020 4:00,1556.76632
1/4/2020 5:00,1557.991396
1/4/2020 6:00,1558.910204
